"age","accepte","revenu_num","epargne_num","risque_num","patience_num","interet_num"
20,1,1,1,3,1,3
20,0,1,0,1,0,2
20,0,1,0,2,0,2
19,1,1,0,3,1,3
18,0,1,0,1,NA,0
18,1,1,2,3,0,3
19,0,1,1,3,1,2
19,1,1,1,2,0,2
19,0,1,1,3,0,2
22,1,1,0,3,0,3
21,1,2,3,2,1,2
19,1,2,1,3,0,3
20,1,3,3,3,0,2
19,0,1,0,3,0,3
20,1,6,5,2,1,2
18,1,3,2,3,0,2
18,1,1,2,1,0,2
19,1,1,0,3,NA,2
21,1,1,2,3,0,2
19,1,1,1,2,0,3
20,1,3,3,3,0,3
21,1,5,4,3,0,2
26,1,5,2,4,0,3
19,1,2,2,3,0,3
20,1,1,0,3,1,3
18,0,2,3,2,0,2
18,0,1,0,3,0,3
19,1,1,0,3,NA,3
21,1,2,3,1,1,2
19,1,2,1,3,NA,2
20,1,2,3,2,0,2
19,0,1,1,2,1,3
18,1,1,0,2,1,2
22,0,1,0,1,NA,2
19,1,6,5,3,0,3
23,1,1,3,3,0,3
20,1,2,3,3,1,3
19,1,1,0,3,1,3
19,1,1,1,2,1,3
25,1,3,3,NA,NA,1
19,1,1,1,3,NA,3
28,1,6,5,1,1,3
28,0,4,3,1,0,2
19,1,2,2,3,0,3
19,1,1,1,3,0,3
21,0,1,2,NA,0,2
21,0,1,0,2,0,2
28,1,5,4,3,1,2
24,0,3,2,3,0,2
18,0,1,2,2,0,2
23,1,2,1,3,1,3
23,1,5,4,3,0,3
20,1,1,0,3,1,2
19,1,1,0,4,1,3
23,1,1,1,2,1,3
19,1,1,0,3,1,3
18,1,1,0,2,0,2
18,1,1,2,3,0,3
21,1,1,2,2,1,2
18,1,1,1,2,0,3
20,1,1,0,3,1,3
18,1,1,0,2,0,0
18,1,2,1,2,NA,3
18,0,1,1,1,0,1
19,0,2,4,3,1,2
24,1,3,2,2,1,3
20,0,1,0,2,0,3
19,1,1,1,3,1,2
21,1,2,0,3,0,3
26,1,2,1,3,1,3
18,1,1,1,2,0,3
20,1,2,2,3,1,3
19,1,1,2,4,1,3
20,0,1,0,1,0,1
18,0,1,0,NA,0,1
18,1,1,0,3,0,3
20,1,2,1,3,0,1
19,1,1,0,3,0,3
25,1,1,0,2,0,3
25,1,1,0,3,0,1
18,1,1,1,3,NA,3
18,1,1,0,3,NA,1
20,1,1,0,3,0,3
19,1,1,1,3,1,2
22,1,1,0,1,0,3
18,1,3,0,3,0,3
24,1,1,0,4,0,3
27,1,1,0,2,0,3
19,1,1,0,2,1,3
18,1,1,0,NA,0,3
24,1,1,0,3,0,3
22,1,3,1,4,1,3
19,1,1,0,2,0,2
21,0,1,1,3,0,2
24,1,1,0,1,0,3
18,0,1,0,3,NA,3
18,0,1,0,2,0,3
